YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2022,2022-01,22EMKIM700057468,1,1,Settled,20:34.0,IM7,IM751,3347.0,2995554.09,USD,3594664.91,48,48191000,NA; PAPER BOX; 1; 1; 1;,CN,China,KE,Kenya,EMK,ICD,569,569,898667,718934,0,0,0,0,0,0,569,0
2022,2022-01,22MBAIM400046311,1,1,Settled,23:00.0,IM4,IM410,894933.0,55738809.39,USD,62948685.11,72,72071100,NON-ALLOY STEEL BILLETS GRADE 3PS(MN MIN 0.60%)SIZE 100X100X12000MM - 160 BDLS; 894933; ,UA,Ukraine,KE,Kenya,MBA,MEX,11960252,0,0,10071790,0,0,944231,944231,0,0,0,0
2022,2022-01,22EMKIM400078685,1,4,Removed,59:56.0,IM4,IM490,1304.25,2686922.04,USD,3230175.96,48,48191000,H; NAUMA PAIN BALM 20GM CTN; 3000; 75; 0; 28410.8; ,IN,India,KE,Kenya,EMK,ICD,31114,1361,141423,90511,0,0,19800,11314,0,0,0,0
2022,2022-02,22EMKIM400177882,1,6,Settled,21:39.0,IM4,IM400,4700.0,6832005.09,USD,7739818.08,48,48041100,1; BROWN KRAFTLINER - AVANTKRAFT 160 GSM 1600MM; ,FI,Finland,KE,Kenya,EMK,ICD,255351,116104,132995,106396,0,0,7980,7980,0,0,0,0
2022,2022-01,22EMKIM700153075,1,1,Settled,19:08.0,IM7,IM700,47724.0,4550016.91,USD,5378877.76,48,48041100,KRAFTLINER BOARD 100GSM; 1; ,PL,Poland,KE,Kenya,EMK,ICD,9490,9490,1344720,1075776,0,0,0,0,0,0,9490,0
2022,2022-02,22MBAEX100445588,1,1,Settled,23:05.0,EX1,EX112,1300000.0,10344024.05,USD,10344024.05,25,25232900,POWERMAX; CEMENT; BG; 26000; ,KE,Kenya,TZ,Tanzania,MBA,MEX,36943,36943,0,0,0,0,0,0,0,0,36943,0
2022,2022-03,22MBAEX100846635,1,1,Settled,10:13.0,EX1,EX112,25000.0,3391937.27,USD,3391937.27,72,72172000,GALVANISED WIRE; 25000; ,KE,Kenya,MZ,Mozambique,MBA,MEX,2138,2138,0,0,0,0,0,0,0,0,2138,0
2022,2022-03,22NBOIM402168532,1,4,Removed,55:10.0,IM4,IM460,500.0,55000.0,KES,55000.0,48,48194000,1; USED EMPTY PAPER BAGS WASTE (BULK); 1;,KE,Kenya,KE,Kenya,NBO,NEX,1146,1376,540,432,0,0,76,44,0,0,0,54
2022,2022-02,22NMAIM400048852,1,1,Removed,02:24.0,IM4,IM404,10123.0,1439689.86,USD,1439689.86,48,48191000,NA; 3 PLY PRINTED CORRUGATED BOXES; 25; 2109; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,230351,0,359923,230351,0,0,0,0,0,0,0,0
2022,2022-03,22EMKIM400454082,1,1,Settled,54:16.0,IM4,IM400,23902.0,2706478.9,EUR,3062841.43,48,48043900,"BLEACHED KRAFT PAPER 1268MM,BK GRUVON; 0;",SE,Sweden,KE,Kenya,EMK,ICD,942173,0,306285,539061,0,0,45943,45943,0,0,4941,0
